book_name,author,genres_list,pages_format,first_published_year,rating,ratings_count,score,votes,book_url
"The Giver (The Giver, #1)",Lois Lowry,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']","208 pages, Paperback",1993, 4.12 avg rating,"2,789,166 ratings","score: 636,789","6,873 people voted",https://www.goodreads.com/book/show/3636.The_Giver
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Harry Potter', 'Magic', 'Childrens', 'Audiobook']","547 pages, Mass Market Paperback",1999, 4.58 avg rating,"4,802,893 ratings","score: 623,030","6,773 people voted",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Book Club', 'Suspense']","480 pages, Hardcover",2005, 4.18 avg rating,"3,430,186 ratings","score: 602,423","6,617 people voted",https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
Dune (Dune #1),Frank Herbert,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Audiobook', 'Science Fiction Fantasy', 'Space Opera']","658 pages, Hardcover",1965, 4.29 avg rating,"1,615,585 ratings","score: 584,964","6,281 people voted",https://www.goodreads.com/book/show/44767458-dune
Where the Wild Things Are,Maurice Sendak,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']","38 pages, Paperback",1963, 4.25 avg rating,"1,058,046 ratings","score: 580,528","6,332 people voted",https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
Green Eggs and Ham,Dr. Seuss,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']","64 pages, Hardcover",1960, 4.31 avg rating,"842,864 ratings","score: 578,928","6,355 people voted",https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
The Lovely Bones,Alice Sebold,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Thriller', 'Crime']","372 pages, Mass Market Paperback",2002, 3.86 avg rating,"2,456,827 ratings","score: 572,410","6,172 people voted",https://www.goodreads.com/book/show/12232938-the-lovely-bones
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Adventure', 'Young Adult', 'School']","327 pages, Paperback",1885, 3.83 avg rating,"1,334,261 ratings","score: 567,377","6,255 people voted",https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
Life of Pi,Yann Martel,"['Fiction', 'Fantasy', 'Classics', 'Book Club', 'Adventure', 'Contemporary', 'Magical Realism']","460 pages, Paperback",2001, 3.94 avg rating,"1,747,266 ratings","score: 557,146","6,024 people voted",https://www.goodreads.com/book/show/4214.Life_of_Pi
Lolita,Vladimir Nabokov,"['Classics', 'Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature']","368 pages, Paperback",1955, 3.87 avg rating,"940,235 ratings","score: 550,338","5,921 people voted",https://www.goodreads.com/book/show/7604.Lolita
A Tale of Two Cities,Charles Dickens,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'School', 'Novels']","489 pages, Paperback",1859, 3.88 avg rating,"1,009,068 ratings","score: 546,684","6,000 people voted",https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Slaughterhouse-Five,Kurt Vonnegut Jr.,"['Classics', 'Fiction', 'Science Fiction', 'Historical Fiction', 'War', 'Literature', 'Novels']","275 pages, Paperback",1969, 4.10 avg rating,"1,476,604 ratings","score: 536,499","5,785 people voted",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Bell Jar,Sylvia Plath,"['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Literary Fiction', 'Literature']","294 pages, Paperback",1963, 4.05 avg rating,"1,207,543 ratings","score: 519,097","5,623 people voted",https://www.goodreads.com/book/show/6514.The_Bell_Jar
